totalAmount,id,products,userId
{'N': '0'},{'S': 'ecf5ec9a-ee53-4d52-bc0e-2a8dbeaa8121'},"{'L': [{'M': {'productId': {'S': '1efaecf3-56fb-4abc-8fa6-8cc0520c15c3'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': 'b0b7c66e-5be4-460f-afef-43bc0d8e0dfc'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '94983fec-470b-4105-a113-d75830cce0ab'}, 'quantity': {'N': '2'}}}]}",{'S': 'aff2daf4-4a91-423e-ba1f-88ccc0589a0c'}
{'N': '0'},{'S': '3996c24d-6780-4891-ae9f-e3dc6da63a86'},"{'L': [{'M': {'productId': {'S': '5d60a4e5-a052-4589-88c7-19fbf7745f98'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '1efaecf3-56fb-4abc-8fa6-8cc0520c15c3'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': 'fdfb3bc5-4684-478a-86c9-0e34a4db42f8'}, 'quantity': {'N': '4'}}}]}",{'S': '4b02147f-fd02-46a8-9bd2-98bed9fe64c6'}
{'N': '0'},{'S': '470ad1f3-bebe-4130-866d-210d117dab7d'},"{'L': [{'M': {'productId': {'S': '96dcddba-6f77-4f24-aaef-15b9a8f6807e'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': 'd24e729f-3111-4364-a3d2-210c5da3febb'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': 'e395da27-185b-4404-937e-82bec997c274'}, 'quantity': {'N': '2'}}}]}",{'S': '5c2933f1-64b8-463e-a6a1-c77cd876f128'}
{'N': '0'},{'S': '3b96ab4b-3eb1-48cf-b84f-5986dcab0b59'},"{'L': [{'M': {'productId': {'S': '5d0f6935-d94f-44d4-95d0-fdab6b5b50a4'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '8b4dec03-c4a6-469a-b514-6705f01df75e'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': 'fffdf35d-2ba9-41f3-823f-01cd094965e0'}, 'quantity': {'N': '1'}}}]}",{'S': 'b30ea24a-0af3-4327-83e9-21f7d39e68d8'}
{'N': '0'},{'S': '57d3983f-a2db-4b08-94b4-d7c01464d5d9'},"{'L': [{'M': {'productId': {'S': '56f03f7c-9111-44a3-bdd2-2457252034f3'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': 'e395da27-185b-4404-937e-82bec997c274'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': 'cfd91268-4da5-4fa7-ad23-4b8763477a2c'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '2d1345eb-d630-48a8-9307-0f71bc8380e8'}, 'quantity': {'N': '3'}}}]}",{'S': '4b02147f-fd02-46a8-9bd2-98bed9fe64c6'}
{'N': '0'},{'S': '0c269276-41dc-4a6e-aeae-dcc6074ab799'},"{'L': [{'M': {'productId': {'S': 'be78d5a2-774a-480c-8370-0d1a4e4a62c1'}, 'quantity': {'N': '3'}}}]}",{'S': '653b69e9-466b-45ea-8cf7-ee89572a1ce3'}
{'N': '0'},{'S': '331d77b2-5511-42a1-a344-930d533f4235'},"{'L': [{'M': {'productId': {'S': 'd24e729f-3111-4364-a3d2-210c5da3febb'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '2ec90391-a901-4ece-92d6-8328e3546e24'}, 'quantity': {'N': '4'}}}]}",{'S': '5bc36ac6-f5fb-4a54-89aa-0b6f41cf0942'}
{'N': '0'},{'S': '3b79a8e6-1687-4149-956a-1e15f1d919d0'},"{'L': [{'M': {'productId': {'S': 'cfd91268-4da5-4fa7-ad23-4b8763477a2c'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': 'fffdf35d-2ba9-41f3-823f-01cd094965e0'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': 'c21a4257-afe6-4447-ab6a-d29618ee8d8d'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '56f03f7c-9111-44a3-bdd2-2457252034f3'}, 'quantity': {'N': '2'}}}]}",{'S': 'b6463b72-650f-46d8-8c6e-ccdd88a584b6'}
{'N': '0'},{'S': '8e3cab96-bcbc-44cc-bfd3-cf3dabcd91c4'},"{'L': [{'M': {'productId': {'S': '19b006ff-c340-4151-916a-dbbbcb717ddc'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': 'bb33bf85-ddab-4f2e-b186-e478c90ea1a9'}, 'quantity': {'N': '2'}}}]}",{'S': '2ea2c512-9b3f-4c2f-ae7c-f179621cccbc'}
{'N': '0'},{'S': '4a516496-b8be-428f-bee5-5f2c96abe6ca'},"{'L': [{'M': {'productId': {'S': '8165bf7a-d3c7-466e-862d-babd9deb8001'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '5d60a4e5-a052-4589-88c7-19fbf7745f98'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '9a438b65-a653-4408-802f-27ce83048606'}, 'quantity': {'N': '4'}}}]}",{'S': 'b6463b72-650f-46d8-8c6e-ccdd88a584b6'}
{'N': '0'},{'S': '12beb2f4-05a6-47aa-9941-c4ded68557a4'},"{'L': [{'M': {'productId': {'S': 'fffdf35d-2ba9-41f3-823f-01cd094965e0'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '76877de1-cc00-4347-b4d9-57125e4cea2e'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': 'e339b9e2-729a-430d-9426-06ee042e242d'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '2ec90391-a901-4ece-92d6-8328e3546e24'}, 'quantity': {'N': '1'}}}]}",{'S': '887c38f2-7228-4ba9-ba30-0b057fea062b'}
{'N': '0'},{'S': '1113ac36-3904-49f9-af31-2fa20520ef84'},"{'L': [{'M': {'productId': {'S': 'cfd91268-4da5-4fa7-ad23-4b8763477a2c'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '8b4dec03-c4a6-469a-b514-6705f01df75e'}, 'quantity': {'N': '4'}}}]}",{'S': 'b34a855e-0fb2-4892-ad6d-5c08577abf01'}
{'N': '0'},{'S': 'a96c3402-4e0d-4c89-ad74-a7afe0c05ebf'},"{'L': [{'M': {'productId': {'S': '27254a5c-ac7a-4031-8d02-0ff2834f6bd3'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '89a8e8e3-f62b-4082-8105-3ad994fd94cd'}, 'quantity': {'N': '4'}}}]}",{'S': '6ba38195-e12d-4950-8f94-002c0d566867'}
{'N': '0'},{'S': '8b2927b0-0af0-4202-b3de-ae3e7c3317e7'},"{'L': [{'M': {'productId': {'S': '62071cbb-1d66-40f3-9a03-7ec4df782a1f'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': 'bb33bf85-ddab-4f2e-b186-e478c90ea1a9'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': 'bd884af0-b42a-45bb-b0b4-7156219caecd'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '522f3760-5875-4712-978f-c00d37f03f27'}, 'quantity': {'N': '1'}}}]}",{'S': '5bc36ac6-f5fb-4a54-89aa-0b6f41cf0942'}
{'N': '0'},{'S': 'c6b1ab0a-9958-4aab-bb2f-feadf58f5807'},"{'L': [{'M': {'productId': {'S': '96dcddba-6f77-4f24-aaef-15b9a8f6807e'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '2d1345eb-d630-48a8-9307-0f71bc8380e8'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': 'cfd91268-4da5-4fa7-ad23-4b8763477a2c'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': 'fffdf35d-2ba9-41f3-823f-01cd094965e0'}, 'quantity': {'N': '1'}}}]}",{'S': '887c38f2-7228-4ba9-ba30-0b057fea062b'}
{'N': '0'},{'S': '399d8e00-1b8e-4288-92cd-7bc329437ec0'},"{'L': [{'M': {'productId': {'S': '62071cbb-1d66-40f3-9a03-7ec4df782a1f'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '1de8bff6-6986-4a95-ae8b-7bd41296f3ae'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '1de8bff6-6986-4a95-ae8b-7bd41296f3ae'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '2ec90391-a901-4ece-92d6-8328e3546e24'}, 'quantity': {'N': '2'}}}]}",{'S': '5c2933f1-64b8-463e-a6a1-c77cd876f128'}
{'N': '0'},{'S': '95fa7fa7-b524-4b37-bc2c-1f8a2b74d057'},"{'L': [{'M': {'productId': {'S': '89a8e8e3-f62b-4082-8105-3ad994fd94cd'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '5d60a4e5-a052-4589-88c7-19fbf7745f98'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '76877de1-cc00-4347-b4d9-57125e4cea2e'}, 'quantity': {'N': '4'}}}]}",{'S': 'fcea5204-b631-40bd-a005-6c8ebf1f8ce5'}
{'N': '0'},{'S': '56c449e4-06e2-4208-a770-ecd1740a64ee'},"{'L': [{'M': {'productId': {'S': 'b0b7c66e-5be4-460f-afef-43bc0d8e0dfc'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '8a9e5bda-ad32-47fd-842b-773c5c5b67f7'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '6557a4a9-c06b-4c43-9b81-16453ef20a13'}, 'quantity': {'N': '3'}}}]}",{'S': 'd07bddbf-261f-42cf-91a3-f230e56b3f7b'}
{'N': '0'},{'S': 'a930eaf3-17da-440e-9ac0-e8128a12bc0b'},"{'L': [{'M': {'productId': {'S': '3fdb58ff-b4ce-4a25-8457-1ea0f38e1831'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '8165bf7a-d3c7-466e-862d-babd9deb8001'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '5d60a4e5-a052-4589-88c7-19fbf7745f98'}, 'quantity': {'N': '1'}}}]}",{'S': '4075fafe-f429-4c45-961d-10d5e8bcc210'}
{'N': '0'},{'S': '52fa2067-79b2-49db-899a-2868f5ae2ccd'},"{'L': [{'M': {'productId': {'S': '16fe8ae3-21de-41b7-8a9b-df461feff8b1'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '56f03f7c-9111-44a3-bdd2-2457252034f3'}, 'quantity': {'N': '3'}}}]}",{'S': 'cd06ad9c-367c-41bd-8473-46a58b836e95'}
{'N': '0'},{'S': '6a38f243-544e-4c3f-a401-db73b5837556'},"{'L': [{'M': {'productId': {'S': 'd24e729f-3111-4364-a3d2-210c5da3febb'}, 'quantity': {'N': '3'}}}]}",{'S': 'aff2daf4-4a91-423e-ba1f-88ccc0589a0c'}
{'N': '0'},{'S': '1f089cda-b650-47f6-a14a-ba8c74a8278c'},"{'L': [{'M': {'productId': {'S': 'bb33bf85-ddab-4f2e-b186-e478c90ea1a9'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '27254a5c-ac7a-4031-8d02-0ff2834f6bd3'}, 'quantity': {'N': '2'}}}]}",{'S': '5c2933f1-64b8-463e-a6a1-c77cd876f128'}
{'N': '0'},{'S': 'abfd7a42-6064-4f5f-be3a-e3ea8b009421'},"{'L': [{'M': {'productId': {'S': '62071cbb-1d66-40f3-9a03-7ec4df782a1f'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '0b5982ed-f5de-48fb-939f-0e4658282523'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '6557a4a9-c06b-4c43-9b81-16453ef20a13'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': 'fffdf35d-2ba9-41f3-823f-01cd094965e0'}, 'quantity': {'N': '3'}}}]}",{'S': '2ea2c512-9b3f-4c2f-ae7c-f179621cccbc'}
{'N': '0'},{'S': '78efda13-b724-48b5-aef2-dc00a6682f1f'},"{'L': [{'M': {'productId': {'S': 'be78d5a2-774a-480c-8370-0d1a4e4a62c1'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '5d0f6935-d94f-44d4-95d0-fdab6b5b50a4'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': 'd24e729f-3111-4364-a3d2-210c5da3febb'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': 'e395da27-185b-4404-937e-82bec997c274'}, 'quantity': {'N': '2'}}}]}",{'S': '5c2933f1-64b8-463e-a6a1-c77cd876f128'}
{'N': '0'},{'S': '4a714cd0-d3b7-47e2-a4c7-6716229caeb5'},"{'L': [{'M': {'productId': {'S': 'e339b9e2-729a-430d-9426-06ee042e242d'}, 'quantity': {'N': '1'}}}, {'M': {'productId': {'S': '8a9e5bda-ad32-47fd-842b-773c5c5b67f7'}, 'quantity': {'N': '4'}}}]}",{'S': 'd07bddbf-261f-42cf-91a3-f230e56b3f7b'}
{'N': '0'},{'S': '5c1ff49f-aec2-4fb4-9b99-b1ed4fb8431b'},"{'L': [{'M': {'productId': {'S': '5d60a4e5-a052-4589-88c7-19fbf7745f98'}, 'quantity': {'N': '2'}}}]}",{'S': '5bc36ac6-f5fb-4a54-89aa-0b6f41cf0942'}
{'N': '0'},{'S': '5e03668b-4130-4209-aaed-e0e02cf354d7'},"{'L': [{'M': {'productId': {'S': '1de8bff6-6986-4a95-ae8b-7bd41296f3ae'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': 'b0b7c66e-5be4-460f-afef-43bc0d8e0dfc'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': '0b5982ed-f5de-48fb-939f-0e4658282523'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '2ec90391-a901-4ece-92d6-8328e3546e24'}, 'quantity': {'N': '3'}}}]}",{'S': '57eea59d-1136-462e-ae40-910e26f79168'}
{'N': '0'},{'S': '8fbb57f0-8b83-40a9-ba73-f4fd2f40211f'},"{'L': [{'M': {'productId': {'S': '3fdb58ff-b4ce-4a25-8457-1ea0f38e1831'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '9a438b65-a653-4408-802f-27ce83048606'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': 'bb33bf85-ddab-4f2e-b186-e478c90ea1a9'}, 'quantity': {'N': '3'}}}]}",{'S': 'cd06ad9c-367c-41bd-8473-46a58b836e95'}
{'N': '0'},{'S': '20ebe1d0-7819-47f2-8613-79f80d695f6e'},"{'L': [{'M': {'productId': {'S': 'be78d5a2-774a-480c-8370-0d1a4e4a62c1'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '56f03f7c-9111-44a3-bdd2-2457252034f3'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '2d1345eb-d630-48a8-9307-0f71bc8380e8'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '76877de1-cc00-4347-b4d9-57125e4cea2e'}, 'quantity': {'N': '3'}}}]}",{'S': '887c38f2-7228-4ba9-ba30-0b057fea062b'}
{'N': '0'},{'S': '674b37a2-5d62-400c-81c0-7db0b776c47e'},"{'L': [{'M': {'productId': {'S': 'fffdf35d-2ba9-41f3-823f-01cd094965e0'}, 'quantity': {'N': '1'}}}]}",{'S': 'aff2daf4-4a91-423e-ba1f-88ccc0589a0c'}
{'N': '0'},{'S': '63d0f380-d206-42ff-8b50-e688d8842413'},"{'L': [{'M': {'productId': {'S': 'cd8bfb4c-7cd2-42a4-9705-e6a35f1a79aa'}, 'quantity': {'N': '3'}}}, {'M': {'productId': {'S': '9a438b65-a653-4408-802f-27ce83048606'}, 'quantity': {'N': '2'}}}, {'M': {'productId': {'S': 'e395da27-185b-4404-937e-82bec997c274'}, 'quantity': {'N': '4'}}}, {'M': {'productId': {'S': '27254a5c-ac7a-4031-8d02-0ff2834f6bd3'}, 'quantity': {'N': '4'}}}]}",{'S': 'd07bddbf-261f-42cf-91a3-f230e56b3f7b'}
